GPS log data: time, lat, lon, m/s, mode
2014-10-08T23:10:43.000Z,40.77817,-112.01577,0.035m/s,3
2014-10-08T23:10:44.000Z,40.77817,-112.01577,0.038m/s,3
2014-10-08T23:10:45.000Z,40.77817,-112.01577,0.021m/s,3
2014-10-08T23:10:46.000Z,40.77817,-112.01577,0.032m/s,3
2014-10-08T23:10:47.000Z,40.77817,-112.01577,0.025m/s,3
2014-10-08T23:10:48.000Z,40.77817,-112.01577,0.050m/s,3
2014-10-08T23:10:49.000Z,40.77817,-112.01577,0.044m/s,3
2014-10-08T23:10:50.000Z,40.77817,-112.01577,0.105m/s,3
2014-10-08T23:10:51.000Z,40.77817,-112.01577,0.085m/s,3
2014-10-08T23:10:52.000Z,40.77817,-112.01577,0.024m/s,3
2014-10-08T23:10:53.000Z,40.77817,-112.01577,0.035m/s,3
2014-10-08T23:10:54.000Z,40.77817,-112.01577,0.047m/s,3
2014-10-08T23:10:55.000Z,40.77817,-112.01577,0.058m/s,3
2014-10-08T23:10:56.000Z,40.77817,-112.01577,0.015m/s,3
2014-10-08T23:10:57.000Z,40.77817,-112.01577,0.030m/s,3
2014-10-08T23:10:58.000Z,40.77817,-112.01577,0.044m/s,3
